cycle,avg_attention,avg_performance,is_break,high_attention_count,0,,,
527,0.66,1,FALSE,0,,,,
528,0.64,1,FALSE,0,,,,
529,0.62,1,FALSE,0,,,,
530,0.6,1,FALSE,0,,,,
531,0.58,1,FALSE,0,,,,
532,0.56,1,FALSE,0,,,,
533,0.54,1,FALSE,0,,,,
534,0.52,1,FALSE,0,,,,
535,0.5,1,FALSE,0,,,,
536,0.48,1,FALSE,0,,,,
537,0.46,1,FALSE,0,,,,
538,0.44,1,FALSE,0,,,,
539,0.42,1,FALSE,0,,,,
540,0.4,1,TRUE,0,,,,
541,0.45,1,TRUE,0,,,,
542,0.5,1,TRUE,0,,,,
543,0.55,1,TRUE,0,,,,
544,0.6,1,TRUE,0,,,,
545,0.65,1,TRUE,0,,,,
546,0.7,1,TRUE,0,,,,
547,0.75,1,TRUE,25,,,,
548,0.8,1,TRUE,25,,,,
549,0.85,1,TRUE,25,,,,
550,0.9,1,TRUE,25,,,,
551,0.95,1,TRUE,25,,,,
552,1,1,TRUE,25,,,,
553,1,1,TRUE,25,,,,
554,1,1,TRUE,25,,,,
555,1,1,TRUE,25,,,,
556,1,1,TRUE,25,,,,
557,1,1,TRUE,25,,,,
558,1,1,TRUE,25,,,,
559,1,1,TRUE,25,,,,
560,1,1,TRUE,25,,,,
561,1,1,TRUE,25,,,,
562,1,1,TRUE,25,,,,
563,1,1,TRUE,25,,,,
564,1,1,TRUE,25,,,,
565,1,1,TRUE,25,,,,
566,1,1,TRUE,25,,,,
567,1,1,TRUE,25,,,,
568,1,1,TRUE,25,,,,
569,1,1,TRUE,25,,,,
570,1,1,FALSE,25,,,,
571,0.98,1,FALSE,25,,,,
572,0.96,1,FALSE,25,,,,
573,0.94,1,FALSE,25,,,,
574,0.92,1,FALSE,25,,,,
575,0.9,1,FALSE,25,,,,
576,0.88,1,FALSE,25,,,,
577,0.86,1,FALSE,25,,,,
578,0.84,1,FALSE,25,,,,
579,0.82,1,FALSE,25,,,,
